,Amager Vest,Amager Øst,Bispebjerg,Brønshøj-Husum,Indre By,Nørrebro,Valby,Vanløse,Vesterbro/Kongens Enghave,Østerbro
15-19 ,0.0473528570066,0.0433028803175,0.0407963082685,0.071796522859,0.0459624758576,0.0431606603186,0.0546863820653,0.0542253954576,0.0356120257695,0.0481633971099
20-29 ,0.255098731279,0.298846564769,0.336290879907,0.186764619797,0.254092706705,0.376493993652,0.248294777009,0.229211546747,0.279845701106,0.260369742472
30-64 ,0.575140703997,0.539868739507,0.505361482043,0.571064801264,0.531408075048,0.498063693107,0.559909372764,0.562349972303,0.598524616241,0.547170420602
65 og derover,0.122407707717,0.117981815407,0.117551329781,0.170374056079,0.168536742389,0.0822816529227,0.137109468161,0.154213085493,0.0860176568838,0.144296439816
