group,Amager Øst,Amager Vest,Bispebjerg,Brønshøj-Husum,Indre By,Nørrebro,Østerbro,Valby,Vanløse,Vesterbro,Avg in CPH
15-19 ,0.0433028803,0.047352857,0.0407963083,0.0717965229,0.0459624759,0.0431606603,0.0481633971,0.0546863821,0.0542253955,0.0356120258,0.0473725467
20-29 ,0.2988465648,0.2550987313,0.3362908799,0.1867646198,0.2540927067,0.3764939937,0.2603697425,0.248294777,0.2292115467,0.2798457011,0.2798362952
30-64 ,0.5398687395,0.575140704,0.505361482,0.5710648013,0.531408075,0.4980636931,0.5471704206,0.5599093728,0.5623499723,0.5985246162,0.5466700191
>=65,0.1179818154,0.1224077077,0.1175513298,0.1703740561,0.1685367424,0.0822816529,0.1442964398,0.1371094682,0.1542130855,0.0860176569,0.126121139
