Bydel,Amager Øst,Amager Vest,Bispebjerg,Brønshøj-Husum,Indre By,Nørrebro,Østerbro,Valby,Vanløse,Vesterbro,Total in CPH
>40 m2,1522,2983,1584,1251,1589,2606,2193,1227,499,1164,16618
40 - 59 m2,9366,4865,10996,3663,4129,11403,8573,6509,6095,8273,73872
60 - 79 m2,9143,9020,9983,5643,5483,12529,10654,8933,5838,9712,86938
80 - 99 m2,4689,7725,4050,5044,5372,9034,8625,5009,3472,6387,59407
100 - 119 m2,2224,4952,1340,2054,3574,2776,4631,2331,1921,3240,29043
120 m2 =<,2269,3420,1189,2510,7326,2709,6086,2659,2499,2730,33397
Total Result,29213,32965,29142,20165,27473,41057,40762,26668,20324,31506,299275
