Gruppe Beskrivelse,Gruppe,Uddannelseskategori,Personer,År Tab35_36,Inddeling,Bydel,Herkomst,Køn
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,411,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,425,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,143,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,73,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,616,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,404,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,134,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,158,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,276,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,538,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,474,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,614,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,293,2014,Bydele,Amager Øst,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,359,2014,Bydele,Amager Øst,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,465,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,471,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,27,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,34,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,9,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,5,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,35,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,26,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,20,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,34,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,23,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,37,2014,Bydele,Amager Øst,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,36,2014,Bydele,Amager Øst,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,55,2014,Bydele,Amager Øst,Indvandrere,Kvinder
