Gruppe Beskrivelse,Gruppe,Uddannelseskategori,Personer,År Tab35_36,Inddeling,Bydel,Herkomst,Køn
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Mellemlang videregående,641,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Mellemlang videregående,1123,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Bachelor,154,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Bachelor,167,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Lang videregående,1008,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Lang videregående,835,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Grundskole mv.,686,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Grundskole mv.,614,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Almen gymnasial,150,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Almen gymnasial,154,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsgymnasial,5,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsgymnasial,2,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsfaglig,388,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsfaglig,372,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Kort videregående,106,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Kort videregående,89,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Mellemlang videregående,193,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Mellemlang videregående,174,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Bachelor,10,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Bachelor,21,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Lang videregående,187,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Lang videregående,140,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Grundskole mv.,15,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Grundskole mv.,11,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Almen gymnasial,2,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Almen gymnasial,3,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsgymnasial,2,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsfaglig,8,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Erhvervsfaglig,11,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Kort videregående,2,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Mellemlang videregående,1,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Mellemlang videregående,7,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Bachelor,1,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Bachelor,1,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Lang videregående,4,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,40-59 år,Lang videregående,4,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Grundskole mv.,361,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Grundskole mv.,412,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Almen gymnasial,86,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Almen gymnasial,44,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Erhvervsgymnasial,4,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Erhvervsgymnasial,5,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Erhvervsfaglig,550,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Erhvervsfaglig,514,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Kort videregående,21,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Kort videregående,37,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Mellemlang videregående,202,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Mellemlang videregående,343,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Bachelor,12,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Bachelor,34,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Lang videregående,196,2014,Bydele,Amager Vest,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Lang videregående,128,2014,Bydele,Amager Vest,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Grundskole mv.,97,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Grundskole mv.,104,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Almen gymnasial,30,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Almen gymnasial,21,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Erhvervsgymnasial,1,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Erhvervsfaglig,80,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Erhvervsfaglig,71,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Kort videregående,23,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Kort videregående,11,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Mellemlang videregående,44,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Mellemlang videregående,51,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Bachelor,2,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Bachelor,3,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Lang videregående,32,2014,Bydele,Amager Vest,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Lang videregående,15,2014,Bydele,Amager Vest,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Grundskole mv.,4,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Grundskole mv.,2,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Almen gymnasial,1,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Erhvervsfaglig,2,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Mellemlang videregående,2,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Mellemlang videregående,1,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Bachelor,1,2014,Bydele,Amager Vest,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,60-66 år,Lang videregående,1,2014,Bydele,Amager Vest,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,16-17 år,Grundskole mv.,194,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,16-17 år,Grundskole mv.,177,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,16-17 år,Grundskole mv.,24,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,16-17 år,Grundskole mv.,31,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,16-17 år,Grundskole mv.,116,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,16-17 år,Grundskole mv.,110,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Grundskole mv.,212,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Grundskole mv.,229,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Almen gymnasial,28,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Almen gymnasial,84,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Erhvervsgymnasial,11,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Erhvervsgymnasial,17,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Erhvervsfaglig,1,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Erhvervsfaglig,1,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Grundskole mv.,62,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Grundskole mv.,53,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Almen gymnasial,4,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Almen gymnasial,6,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Erhvervsgymnasial,3,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Erhvervsgymnasial,2,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Grundskole mv.,104,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Grundskole mv.,100,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Almen gymnasial,8,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Almen gymnasial,28,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Erhvervsgymnasial,12,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Erhvervsgymnasial,8,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,18-19 år,Erhvervsfaglig,1,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Grundskole mv.,488,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Grundskole mv.,425,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Almen gymnasial,1113,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Almen gymnasial,1853,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsgymnasial,284,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsgymnasial,213,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsfaglig,239,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsfaglig,196,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Kort videregående,45,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Kort videregående,47,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Mellemlang videregående,21,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Mellemlang videregående,53,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Bachelor,163,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Bachelor,232,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Lang videregående,4,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Lang videregående,4,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Grundskole mv.,389,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Grundskole mv.,445,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Almen gymnasial,40,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Almen gymnasial,59,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsgymnasial,28,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsgymnasial,9,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsfaglig,9,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsfaglig,23,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Kort videregående,11,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Kort videregående,12,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Mellemlang videregående,5,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Mellemlang videregående,15,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Bachelor,21,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Bachelor,30,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Lang videregående,6,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Lang videregående,1,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Grundskole mv.,156,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Grundskole mv.,99,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Almen gymnasial,87,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Almen gymnasial,140,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsgymnasial,42,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsgymnasial,37,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsfaglig,32,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Erhvervsfaglig,31,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Kort videregående,7,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Kort videregående,6,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Mellemlang videregående,1,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Mellemlang videregående,3,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Bachelor,7,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,20-24 år,Bachelor,17,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,380,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,255,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,509,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,500,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,127,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,47,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,506,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,352,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,118,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,102,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,292,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,598,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,452,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,649,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,345,2014,Bydele,Bispebjerg,Dansk,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,381,2014,Bydele,Bispebjerg,Dansk,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,665,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,729,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,56,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,61,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,17,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,2,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,81,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,74,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,32,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,29,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,55,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,63,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,40,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Bachelor,55,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,109,2014,Bydele,Bispebjerg,Indvandrere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Lang videregående,94,2014,Bydele,Bispebjerg,Indvandrere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,62,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Grundskole mv.,44,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,21,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Almen gymnasial,32,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,12,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsgymnasial,4,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,24,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Erhvervsfaglig,33,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,13,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Kort videregående,11,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,14,2014,Bydele,Bispebjerg,Efterkommere,Mænd
16-17;18-19;20-24;25-29;30-39;40-59;60-66,25-29 år,Mellemlang videregående,37,2014,Bydele,Bispebjerg,Efterkommere,Kvinder
