Bydel,<50.000 kr.,100.000-149.999 kr.,150.000-199.999 kr.,200.000-299.999 kr.,300.000-399.999 kr.,400.000-499.999 kr.,50.000-99.999 kr.,500.000-599.999 kr.,600.000-699.999 kr.,>=700.000 kr.,Total Result
Amager Øst,8.5101279899,12.6463598107,15.0011992238,17.7986612302,18.025423544,10.4986590498,7.7753308767,4.7249416741,2.1869480845,2.8323485162,100
Amager Vest,9.1462367643,12.0232757798,14.0417819327,15.9133835734,17.0046742345,11.3650672517,7.5493656396,5.9486788133,2.9037489268,4.1037870839,100
Bispebjerg,8.5427023653,16.1134271128,18.5790400606,18.4497402858,15.656419288,7.4637180373,9.4812403861,2.8602001917,1.3086028936,1.5449093787,100
Brønshøj-Husum,11.3094889656,12.6148802903,16.7622782884,17.0052098578,15.3310308494,9.354328865,6.9542820348,4.8586313879,2.561025581,3.2488438799,100
Indre By,11.7377908581,10.0156350593,11.7056010301,14.434838591,14.3980502161,11.4848707808,7.3530764278,6.9461050308,3.8558815414,8.0681504645,100
Nørrebro,8.969277264,15.9627621608,17.4480234483,16.0736252221,15.406928182,9.2304888605,10.1659908576,3.7754187738,1.4229957325,1.5444894984,100
Østerbro,9.5018971502,10.8678453217,13.405990151,15.5356422055,16.4172115928,12.3355130379,6.6973439897,6.4955194962,3.251796238,5.491240817,100
Valby,8.65967088,12.3610779871,15.7858335321,17.1762461245,17.8821845934,10.8061054138,6.5442404007,5.1204388266,2.4707846411,3.1934176008,100
Vanløse,8.6231304241,10.4911676002,13.6025112328,16.867729427,19.2774050594,11.8421862498,5.9518680372,6.3057795285,2.9974764572,4.0407459839,100
Vesterbro,8.4307643363,13.0259285771,14.4516026406,16.3664201066,17.1140539251,11.7056390678,7.4604310825,5.593334924,2.5769506084,3.2748747316,100
Avg in CPH,9.2885772178,12.7576903005,15.105083342,16.477811748,16.5616924894,10.6266546374,7.7377342903,5.2329328046,2.5187463949,3.6930767752,100
