Bydel,Køn,Aldersgruppe,Personer,Brutto,Kategori
Indre By,Kvinder,20-29 ,1079,150.000-199.999 kr.,4
Indre By,Kvinder,20-29 ,796,200.000-299.999 kr.,5
Indre By,Kvinder,20-29 ,606,300.000-399.999 kr.,6
Indre By,Kvinder,20-29 ,240,400.000-499.999 kr.,7
Indre By,Kvinder,20-29 ,66,500.000-599.999 kr.,8
Indre By,Kvinder,20-29 ,21,600.000-699.999 kr.,9
Indre By,Kvinder,20-29 ,26,700.000 kr. og derover,10
Indre By,Kvinder,30-64 ,915,-49.999 kr.,1
Indre By,Kvinder,30-64 ,407,50.000-99.999 kr.,2
Indre By,Kvinder,30-64 ,645,100.000-149.999 kr.,3
Indre By,Kvinder,30-64 ,790,150.000-199.999 kr.,4
Indre By,Kvinder,30-64 ,1603,200.000-299.999 kr.,5
Indre By,Kvinder,30-64 ,2384,300.000-399.999 kr.,6
Indre By,Kvinder,30-64 ,2099,400.000-499.999 kr.,7
Indre By,Kvinder,30-64 ,1133,500.000-599.999 kr.,8
Indre By,Kvinder,30-64 ,562,600.000-699.999 kr.,9
Indre By,Kvinder,30-64 ,815,700.000 kr. og derover,10
Indre By,Kvinder,65 og derover,43,-49.999 kr.,1
Indre By,Kvinder,65 og derover,140,50.000-99.999 kr.,2
Indre By,Kvinder,65 og derover,447,100.000-149.999 kr.,3
Indre By,Kvinder,65 og derover,1046,150.000-199.999 kr.,4
Indre By,Kvinder,65 og derover,1103,200.000-299.999 kr.,5
Indre By,Kvinder,65 og derover,662,300.000-399.999 kr.,6
Indre By,Kvinder,65 og derover,310,400.000-499.999 kr.,7
Indre By,Kvinder,65 og derover,144,500.000-599.999 kr.,8
Indre By,Kvinder,65 og derover,74,600.000-699.999 kr.,9
Indre By,Kvinder,65 og derover,139,700.000 kr. og derover,10
Østerbro,Mænd,15-19 ,1247,-49.999 kr.,1
Østerbro,Mænd,15-19 ,172,50.000-99.999 kr.,2
Østerbro,Mænd,15-19 ,51,100.000-149.999 kr.,3
Østerbro,Mænd,15-19 ,16,150.000-199.999 kr.,4
Østerbro,Mænd,15-19 ,10,200.000-299.999 kr.,5
Østerbro,Mænd,20-29 ,661,-49.999 kr.,1
Østerbro,Mænd,20-29 ,1276,50.000-99.999 kr.,2
Østerbro,Mænd,20-29 ,1343,100.000-149.999 kr.,3
Østerbro,Mænd,20-29 ,1228,150.000-199.999 kr.,4
Østerbro,Mænd,20-29 ,1201,200.000-299.999 kr.,5
Østerbro,Mænd,20-29 ,895,300.000-399.999 kr.,6
Østerbro,Mænd,20-29 ,507,400.000-499.999 kr.,7
Østerbro,Mænd,20-29 ,198,500.000-599.999 kr.,8
Østerbro,Mænd,20-29 ,78,600.000-699.999 kr.,9
Østerbro,Mænd,20-29 ,66,700.000 kr. og derover,10
Østerbro,Mænd,30-64 ,999,-49.999 kr.,1
Østerbro,Mænd,30-64 ,391,50.000-99.999 kr.,2
Østerbro,Mænd,30-64 ,1077,100.000-149.999 kr.,3
