group,Amager Øst,Amager Vest,Bispebjerg,Brønshøj-Husum,Indre By,Nørrebro,Østerbro,Valby,Vanløse,Vesterbro,Avg in CPH
<40 m2,0.0521000924,0.0904899135,0.0543545398,0.062038185,0.0578386052,0.063472733,0.0538001079,0.0460101995,0.0245522535,0.0369453437,0.0555275249
40 - 59 m2,0.320610687,0.1475807675,0.3773248233,0.1816513761,0.150293015,0.2777358307,0.2103184338,0.2440752962,0.2998917536,0.2625849045,0.2468365216
60 - 79 m2,0.3129770992,0.2736235401,0.342563997,0.2798413092,0.1995777673,0.3051611175,0.2613708846,0.3349707515,0.287246605,0.3082587444,0.2904953638
80 - 99 m2,0.1605107315,0.2343394509,0.1389746757,0.2501363749,0.1955374368,0.2200355603,0.2115941318,0.1878281086,0.1708325133,0.2027232908,0.198503049
100 - 119 m2,0.0761304899,0.1502199302,0.0459817446,0.1018596578,0.1300913624,0.0676133181,0.1136107159,0.0874081296,0.0945187955,0.1028375548,0.0970445243
>=120 m2,0.0776708999,0.1037463977,0.0408002196,0.124473097,0.2666618134,0.0659814404,0.1493057259,0.0997075146,0.1229580791,0.0866501619,0.1115930165
